Labels,Labels_bert,Index
1,0,0
1,0,1
1,0,8
1,0,11
1,0,15
1,0,16
1,0,18
1,0,19
1,0,21
1,0,22
1,0,23
1,0,25
1,0,28
1,0,29
1,0,30
1,0,35
1,0,38
1,0,40
1,0,41
1,0,42
1,0,43
1,0,45
1,0,47
1,0,49
1,0,54
1,0,55
1,0,56
1,0,60
1,0,66
1,0,67
1,0,68
1,0,70
1,0,71
1,0,72
1,0,73
1,0,74
1,0,75
1,0,76
1,0,77
1,0,79
1,0,80
1,0,81
1,0,83
1,0,84
1,0,86
1,0,88
1,0,89
1,0,90
1,0,91
1,0,93
1,0,94
1,0,98
1,0,100
1,0,101
1,0,102
1,0,103
1,0,105
1,0,107
1,0,108
1,0,111
1,0,112
1,0,113
1,0,115
1,0,116
1,0,118
1,0,119
1,0,121
1,0,122
1,0,123
1,0,125
1,0,128
1,0,130
1,0,131
1,0,134
1,0,137
1,0,140
1,0,141
1,0,143
1,0,145
1,0,146
1,0,152
1,0,153
1,0,154
1,0,155
1,0,156
1,0,157
1,0,158
1,0,163
1,0,165
1,0,171
1,0,173
1,0,174
1,0,177
1,0,178
1,0,183
1,0,184
1,0,187
1,0,188
1,0,189
1,0,192
1,0,194
1,0,195
1,0,197
1,0,198
1,0,200
1,0,202
1,0,206
1,0,208
1,0,210
